,p_year,t_manu,case_id
70,2003.0,Bonus,12
71,2003.0,GE Wind,608
72,2003.0,Gamesa,2
73,2003.0,Mitsubishi,201
74,2003.0,NEG Micon,84
75,2003.0,Seaforth,2
76,2003.0,Suzlon,18
77,2003.0,Vestas,224
78,2004.0,AOC,4
79,2004.0,GE Wind,116
80,2004.0,Mitsubishi,120
81,2004.0,NEG Micon,22
82,2004.0,Vestas,65
83,2005.0,Bergey Energy,1
84,2005.0,Fuhrlander,1
85,2005.0,GE Wind,958
86,2005.0,Gamesa,25
87,2005.0,Mitsubishi,190
88,2005.0,NEG Micon,38
89,2005.0,Nordtank,18
90,2005.0,Vestas,367
91,2006.0,Bonus,1
92,2006.0,GE Wind,768
93,2006.0,Gamesa,25
94,2006.0,Mitsubishi,127
95,2006.0,Northern Power Systems,3
96,2006.0,Seaforth,3
97,2006.0,Siemens,119
98,2006.0,Siemens Gamesa Renewable Energy,130
99,2006.0,Suzlon,45
100,2006.0,Vestas,285
101,2007.0,Clipper,19
102,2007.0,GE Wind,1558
103,2007.0,Gamesa,249
104,2007.0,Mitsubishi,364
105,2007.0,Nordex,1
106,2007.0,Siemens,308
107,2007.0,Siemens Gamesa Renewable Energy,67
108,2007.0,Suzlon,98
109,2007.0,Vestas,536
110,2008.0,AWE,2
111,2008.0,Acciona,273
112,2008.0,Clipper,189
113,2008.0,DeWind,1
114,2008.0,Entegrity,16
115,2008.0,Fuhrlander,12
116,2008.0,GE Wind,2392
117,2008.0,Gamesa,305
118,2008.0,Mitsubishi,514
119,2008.0,NEG Micon,1
120,2008.0,Northern Power Systems,6
121,2008.0,REpower,47
122,2008.0,RRB,1
123,2008.0,Siemens,344
124,2008.0,Suzlon,361
125,2008.0,Vensys,1
126,2008.0,Vestas,582
127,2009.0,AAER,2
128,2009.0,Acciona,136
129,2009.0,Changzhou Railcar Propulsion Engineering Research and Development Center,1
130,2009.0,Clipper,246
131,2009.0,DeWind,3
132,2009.0,EWT,3
133,2009.0,Elecon,1
134,2009.0,Fuhrlander,5
135,2009.0,GE Wind,2663
136,2009.0,Gamesa,298
137,2009.0,Goldwind,3
138,2009.0,Mitsubishi,417
139,2009.0,NEG Micon,1
140,2009.0,NedWind,13
141,2009.0,Nordex,25
142,2009.0,Northern Power Systems,27
143,2009.0,Norwin,1
144,2009.0,REpower,165
145,2009.0,RRB,6
146,2009.0,Siemens,502
147,2009.0,Siemens Gamesa Renewable Energy,5
148,2009.0,Suzlon,345
149,2009.0,Vensys,2
150,2009.0,Vestas,825
151,2009.0,Wind Energy Solutions,1
152,2010.0,AAER,1
153,2010.0,Acciona,66
154,2010.0,Clipper,28
155,2010.0,DeWind,10
156,2010.0,EWT,2
157,2010.0,Endurance,4
158,2010.0,Entegrity,1
159,2010.0,GE Wind,1682
160,2010.0,Gamesa,282
161,2010.0,Leitner Ag,1
162,2010.0,Mitsubishi,146
163,2010.0,Nordex,8
164,2010.0,Nordic,2
165,2010.0,Nordtank,1
166,2010.0,Northern Power Systems,42
167,2010.0,PowerWind,1
168,2010.0,REpower,35
169,2010.0,Samsung,3
170,2010.0,Siemens,360
171,2010.0,Skystream,1
172,2010.0,Suzlon,201
173,2010.0,Turbowinds,6
174,2010.0,Vestas,66
175,2011.0,Aeronautica,1
176,2011.0,Alstom,24
177,2011.0,Clipper,99
178,2011.0,Elecon,1
179,2011.0,GE Wind,1249
180,2011.0,Gamesa,77
181,2011.0,Goldwind,3
182,2011.0,Hyundai,2
183,2011.0,Kenersys,1
184,2011.0,Mitsubishi,136
185,2011.0,Nordex,114
186,2011.0,Nordic,1
187,2011.0,Nordtank,6
188,2011.0,Northern Power Systems,7
189,2011.0,PowerWind,1
190,2011.0,REpower,86
191,2011.0,Sany,5
192,2011.0,Siemens,533
193,2011.0,Siemens Gamesa Renewable Energy,1
194,2011.0,Sinovel,1
195,2011.0,Siva,1
196,2011.0,Suzlon,159
197,2011.0,Unison,2
198,2011.0,Vensys,4
199,2011.0,Vestas,970
200,2012.0,Acciona,128
201,2012.0,Aeronautica,3
202,2012.0,Bora,2
203,2012.0,China Creative Wind Energy,17
204,2012.0,Clipper,100
205,2012.0,DeWind,70
206,2012.0,EWT,3
207,2012.0,GE Wind,2997
208,2012.0,Gamesa,673
209,2012.0,Goldwind,101
210,2012.0,Guodian,6
211,2012.0,HZ Windpower,2
212,2012.0,Hyundai,2
213,2012.0,Kenersys,1
214,2012.0,Leitner Poma,1
215,2012.0,Mitsubishi,204
216,2012.0,NEG Micon,1
217,2012.0,Nordex,112
218,2012.0,Nordic,2
219,2012.0,Northern Power Systems,6
220,2012.0,PowerWind,4
221,2012.0,REpower,288
222,2012.0,SIVA Windturbine India Pvt Ltd,1
223,2012.0,Sany,1
224,2012.0,Siemens,1116
225,2012.0,Siemens Gamesa Renewable Energy,1
226,2012.0,Sinovel,3
227,2012.0,Suzlon,89
228,2012.0,Turbowinds,1
229,2012.0,Vensys,2
230,2012.0,Vergnet,1
231,2012.0,Vestas,805
232,2012.0,Windmatic,5
233,2013.0,EWT,3
234,2013.0,GE Wind,533
235,2013.0,Northern Power Systems,1
236,2013.0,PowerWind,1
237,2013.0,Sany,4
238,2013.0,Siemens,37
239,2013.0,Vergnet,3
240,2013.0,Vestas,3
241,2014.0,GE Wind,1662
242,2014.0,Gamesa,11
243,2014.0,Nordex,37
244,2014.0,PowerWind,1
245,2014.0,RRB,1
246,2014.0,Siemens,510
247,2014.0,Vestas,276
248,2015.0,Acciona,155
249,2015.0,GE Wind,1927
250,2015.0,Gamesa,196
251,2015.0,Goldwind,5
252,2015.0,NEG Micon,1
253,2015.0,Nordex,55
254,2015.0,Renewtech LLC,1
255,2015.0,Sany,11
256,2015.0,Siemens,525
257,2015.0,Siemens Gamesa Renewable Energy,1
258,2015.0,Vergnet,4
259,2015.0,Vestas,1400
260,2016.0,GE Wind,1684
261,2016.0,Gamesa,152
262,2016.0,Goldwind,1
263,2016.0,Nordex,31
264,2016.0,Northern Power Systems,1
265,2016.0,Siemens,349
266,2016.0,Vensys,10
267,2016.0,Vergnet,1
268,2016.0,Vestas,1533
269,2017.0,Aeronautica,1
270,2017.0,GE Wind,887
271,2017.0,Gamesa,419
272,2017.0,Goldwind,4
273,2017.0,HZ Windpower,14
274,2017.0,Nordex,262
275,2017.0,Siemens,323
276,2017.0,Vensys,3
277,2017.0,Vestas,1106
278,2018.0,EWT,1
279,2018.0,GE Wind,1200
280,2018.0,Goldwind,70
281,2018.0,Nordex,280
282,2018.0,Siemens Gamesa Renewable Energy,253
283,2018.0,Vensys,7
284,2018.0,Vestas,1228
285,2019.0,EWT,1
286,2019.0,GE Wind,1671
287,2019.0,Goldwind,8
288,2019.0,Nordex,168
289,2019.0,Siemens,118
290,2019.0,Siemens Gamesa Renewable Energy,397
291,2019.0,Vestas,1205
292,2020.0,GE Wind,1000
293,2020.0,Nordex,47
294,2020.0,Siemens Gamesa Renewable Energy,125
295,2020.0,Vestas,418
