,p_year,t_manu,case_id
185,2011.0,Nordex,114
217,2012.0,Nordex,112
243,2014.0,Nordex,37
253,2015.0,Nordex,55
263,2016.0,Nordex,31
274,2017.0,Nordex,262
281,2018.0,Nordex,280
288,2019.0,Nordex,168
293,2020.0,Nordex,47
164,2010.0,Nordic,2
186,2011.0,Nordic,1
218,2012.0,Nordic,2
6,1984.0,Nordtank,134
9,1985.0,Nordtank,73
89,2005.0,Nordtank,18
165,2010.0,Nordtank,1
187,2011.0,Nordtank,6
58,2001.0,Northern Power Systems,1
68,2002.0,Northern Power Systems,1
95,2006.0,Northern Power Systems,3
120,2008.0,Northern Power Systems,6
142,2009.0,Northern Power Systems,27
166,2010.0,Northern Power Systems,42
188,2011.0,Northern Power Systems,7
219,2012.0,Northern Power Systems,6
235,2013.0,Northern Power Systems,1
264,2016.0,Northern Power Systems,1
143,2009.0,Norwin,1
167,2010.0,PowerWind,1
189,2011.0,PowerWind,1
220,2012.0,PowerWind,4
236,2013.0,PowerWind,1
244,2014.0,PowerWind,1
121,2008.0,REpower,47
144,2009.0,REpower,165
168,2010.0,REpower,35
190,2011.0,REpower,86
221,2012.0,REpower,288
122,2008.0,RRB,1
145,2009.0,RRB,6
245,2014.0,RRB,1
254,2015.0,Renewtech LLC,1
222,2012.0,SIVA Windturbine India Pvt Ltd,1
169,2010.0,Samsung,3
191,2011.0,Sany,5
223,2012.0,Sany,1
237,2013.0,Sany,4
255,2015.0,Sany,11
31,1997.0,Seaforth,6
75,2003.0,Seaforth,2
96,2006.0,Seaforth,3
97,2006.0,Siemens,119
106,2007.0,Siemens,308
123,2008.0,Siemens,344
146,2009.0,Siemens,502
170,2010.0,Siemens,360
192,2011.0,Siemens,533
224,2012.0,Siemens,1116
238,2013.0,Siemens,37
246,2014.0,Siemens,510
256,2015.0,Siemens,525
265,2016.0,Siemens,349
275,2017.0,Siemens,323
289,2019.0,Siemens,118
59,2001.0,Siemens Gamesa Renewable Energy,166
98,2006.0,Siemens Gamesa Renewable Energy,130
107,2007.0,Siemens Gamesa Renewable Energy,67
147,2009.0,Siemens Gamesa Renewable Energy,5
193,2011.0,Siemens Gamesa Renewable Energy,1
225,2012.0,Siemens Gamesa Renewable Energy,1
257,2015.0,Siemens Gamesa Renewable Energy,1
282,2018.0,Siemens Gamesa Renewable Energy,253
290,2019.0,Siemens Gamesa Renewable Energy,397
294,2020.0,Siemens Gamesa Renewable Energy,125
32,1997.0,Silver Eagle,2
194,2011.0,Sinovel,1
226,2012.0,Sinovel,3
195,2011.0,Siva,1
171,2010.0,Skystream,1
76,2003.0,Suzlon,18
99,2006.0,Suzlon,45
108,2007.0,Suzlon,98
124,2008.0,Suzlon,361
148,2009.0,Suzlon,345
172,2010.0,Suzlon,201
196,2011.0,Suzlon,159
227,2012.0,Suzlon,89
173,2010.0,Turbowinds,6
228,2012.0,Turbowinds,1
197,2011.0,Unison,2
10,1985.0,Vanguard,3
125,2008.0,Vensys,1
149,2009.0,Vensys,2
198,2011.0,Vensys,4
229,2012.0,Vensys,2
266,2016.0,Vensys,10
276,2017.0,Vensys,3
283,2018.0,Vensys,7
230,2012.0,Vergnet,1
239,2013.0,Vergnet,3
258,2015.0,Vergnet,4
267,2016.0,Vergnet,1
2,1982.0,Vestas,1
3,1983.0,Vestas,432
11,1985.0,Vestas,83
15,1986.0,Vestas,2
17,1987.0,Vestas,14
21,1990.0,Vestas,326
22,1991.0,Vestas,1
23,1992.0,Vestas,1
25,1994.0,Vestas,30
26,1995.0,Vestas,42
28,1996.0,Vestas,1
33,1997.0,Vestas,12
37,1998.0,Vestas,42
44,1999.0,Vestas,93
49,2000.0,Vestas,40
60,2001.0,Vestas,620
