,Year,Source,Twh
261,2014-01-01,Oil,32.507
262,2014-01-01,Renewables,84.07
263,2014-01-01,Solar,29.215999999999998
264,2014-01-01,Wind,183.49
265,2015-01-01,Coal,1468.296
266,2015-01-01,Gas,1433.852
267,2015-01-01,Hydro,246.453
268,2015-01-01,Nuclear,839.135
269,2015-01-01,Oil,30.375
270,2015-01-01,Renewables,83.736
271,2015-01-01,Solar,39.426
272,2015-01-01,Wind,192.645
273,2016-01-01,Coal,1346.1889999999999
274,2016-01-01,Gas,1482.05
275,2016-01-01,Hydro,263.764
276,2016-01-01,Nuclear,848.0989999999999
277,2016-01-01,Oil,26.026999999999997
278,2016-01-01,Renewables,82.723
279,2016-01-01,Solar,55.42
280,2016-01-01,Wind,229.285
281,2017-01-01,Coal,1310.005
282,2017-01-01,Gas,1393.994
283,2017-01-01,Hydro,296.807
284,2017-01-01,Nuclear,847.315
285,2017-01-01,Oil,23.0
286,2017-01-01,Renewables,82.8
287,2017-01-01,Solar,78.058
288,2017-01-01,Wind,256.871
289,2018-01-01,Coal,1246.693
290,2018-01-01,Gas,1579.276
291,2018-01-01,Hydro,289.515
292,2018-01-01,Nuclear,849.563
293,2018-01-01,Oil,27.124000000000002
294,2018-01-01,Renewables,81.913
295,2018-01-01,Solar,94.30799999999999
296,2018-01-01,Wind,275.404
297,2019-01-01,Coal,1053.53
298,2019-01-01,Gas,1700.876
299,2019-01-01,Hydro,271.158
300,2019-01-01,Nuclear,852.01
301,2019-01-01,Oil,19.964000000000002
302,2019-01-01,Renewables,78.34
303,2019-01-01,Solar,108.359
304,2019-01-01,Wind,303.10200000000003
